Id,Label,timeset,Clustering Coefficient,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,indegree,outdegree,Degree,componentnumber,modularity_class
C Block Mangol Puri,,,0,16,0.133649,0.143416,79.76081,1,1,2,0,7
Chhath Park Mangol Puri,,,0,15,0.143253,0.154265,877.207493,1,1,2,0,7
T Block Magol Puri,,,0,15,0.146008,0.157913,2.725036,1,1,2,0,7
Neelwal Village,,,0,14,0.142638,0.152911,3840.297414,2,0,2,0,17
Ramesh Nagar,,,0,15,0.140792,0.151119,1.333333,1,1,2,0,2
Tatar Pur,,,0,15,0.157307,0.170692,444.556304,1,1,2,0,9
Meenakshi Garden,,,0,14,0.1609,0.176083,3949.731175,2,3,5,0,9
Sant Pura,,,0,14,0.159383,0.173236,99.457723,1,1,2,0,9
C-1 Janakpuri,,,0,15,0.126712,0.135123,1030.646497,1,1,2,0,16
C-2 Janakpuri,,,0,16,0.113761,0.120954,17.488095,1,1,2,0,16
Kiran Garden,,,0.333333,14,0.154678,0.167165,469.488196,3,4,7,0,16
Mohan Garden,,,0.333333,14,0.147117,0.158644,3201.776837,2,2,4,0,16
Mitraon Village,,,0.4,14,0.152559,0.166276,8137.003412,2,4,6,0,18
Tilak Nagar / Sant Pura,,,0,14,0.159383,0.173236,99.457723,1,1,2,0,9
Ramjas College,,,1,14,0.148943,0.161593,0,1,1,2,0,5
Thana Sabji Mandi / Ice Factory,,,1,14,0.16418,0.179647,0,1,1,2,0,0
Kair Village,,,1,15,0.142737,0.153396,0,2,0,2,0,18
Mitraon School,,,0.666667,15,0.142245,0.153433,1734.998381,2,1,3,0,18
Surhera X-ing,,,0.166667,15,0.140293,0.152272,16783.691614,2,2,4,0,18
Jaffarpur RTRM Hospital,,,0,16,0.117476,0.126068,952.221715,1,1,2,0,18
Samaspur Khalsa,,,0,17,0.109858,0.116131,124.553106,1,1,2,0,18
Ujwa School,,,0,16,0.118283,0.124356,1058.450438,1,1,2,0,18
Ujwa Gaon,,,0,15,0.133085,0.140736,2791.897332,1,1,2,0,18
Malikpur Crossing,,,0,14,0.153162,0.164492,4615.778285,1,1,2,0,18
Ghuman Hera X-ing,,,0,13,0.180723,0.200205,63038.634551,2,3,5,0,18
Rawta Village,,,0,13,0.171429,0.186461,4297.099139,1,1,2,0,18
Dauralla Village,,,0,14,0.146641,0.156134,2546.024354,1,1,2,0,18
Daurala Border,,,0,15,0.133095,0.141048,1315.732777,2,0,2,0,18
Jhatikara Village,,,0,18,0.095738,0.101245,0,1,0,1,0,18
Pandwala Kalan,,,0,17,0.105245,0.111597,0,1,0,1,0,18
Deen Dayal Upadhyay Marg,,,0,14,0.168082,0.186002,254.241999,1,1,2,0,14
Mundhela X-ing,,,0,15,0.136996,0.149662,14918.39907,1,3,4,0,18
CRPF Camp Jharoda,,,0,14,0.147783,0.15951,3717,1,2,3,0,5
Jharoda Kalan,,,0,15,0.128764,0.136079,0,1,0,1,0,5
Khera Dabar,,,0,16,0.123057,0.130696,1859,1,1,2,0,18
Ch. Braham Parkash Ayurvedic Hospital,,,0,17,0.109579,0.114684,0,1,0,1,0,18
Samas Pur Khalsa,,,0,16,0.117573,0.126443,2862.79167,1,1,2,0,18
Ujwa,,,0,16,0.108341,0.115754,5667.038399,1,2,3,0,18
Malik Pur Zar Xing,,,0,15,0.118193,0.125703,4689.63403,1,1,2,0,18
Rawata,,,0,14,0.133352,0.143563,10765.97072,2,2,4,0,18
Khaira Village,,,0,14,0.153137,0.164439,2753.583541,1,1,2,0,18
Kharkhari Nahar,,,0,15,0.132943,0.140533,908.583541,1,1,2,0,18
Kharkhari Jatmal,,,0,15,0.123375,0.130028,12,1,1,2,0,18
Hasan Pur,,,0,14,0.13319,0.142332,960.416459,1,1,2,0,18
Ghuman Hera,,,0,13,0.153579,0.168197,17847.162559,2,2,4,0,18
Amrawati Piou,,,0,15,0.117684,0.124428,1859,1,1,2,0,18
Galibpur,,,0,16,0.105299,0.109889,0,1,0,1,0,18
Sikar Pur,,,0,18,0.095738,0.101245,0,1,0,1,0,18
Government Saryoda Kanya Vidyalaya,,,0,15,0.140282,0.150549,273.627001,1,1,2,0,16
Prem Nursery,,,0,15,0.117335,0.124359,322.575095,1,1,2,0,18
Goyla Village,,,0,14,0.131272,0.140352,1859,1,1,2,0,18
Goyla Dairy,,,0,15,0.116047,0.121976,0,1,0,1,0,18
Nanak Heri,,,0,18,0.087633,0.092146,1859,1,1,2,0,18
Nanak Heri Border,,,0,19,0.080575,0.083849,0,1,0,1,0,18
Mata DanKaur Public School,,,0,16,0.124132,0.133784,123.723248,1,1,2,0,18
Bakkar Garh Xing,,,0,15,0.134919,0.145249,1148.420148,1,1,2,0,18
Issapur Xing,,,0,15,0.133977,0.143657,927.5,1,1,2,0,18
AIR Force Camp,,,0,16,0.118208,0.125118,1.5,1,1,2,0,18
Dhansa Village,,,0.166667,15,0.134025,0.144464,4468.414451,2,2,4,0,18
S.K.V.Dhansa,,,1,16,0.118208,0.125118,0,1,1,2,0,18
Dhansa Border (Bakkargarh Border),,,0.333333,16,0.118971,0.126654,49.862302,3,0,3,0,18
Mundhela Kalan,,,0,16,0.120513,0.128653,1859,1,1,2,0,18
Mundhela Khurd,,,0,17,0.107558,0.113032,0,1,0,1,0,18
Central Secretariat,,,0,13,0.166951,0.182963,778.166806,1,1,2,0,2
Khyala Village,,,0,15,0.155181,0.167482,0,1,0,1,0,9
Malik Pur Zar,,,0,17,0.097776,0.103205,3716,1,1,2,0,18
Jhuljhuli,,,0,18,0.08908,0.09326,1859,1,1,2,0,18
Sarang Pur,,,0,19,0.081798,0.084847,0,1,0,1,0,18
Bakkargarh X-ing,,,0,16,0.120544,0.128922,174.085549,1,1,2,0,18
Maya Enclave,,,0.666667,14,0.149771,0.163244,3.15,2,2,4,0,16
AIR Station,,,0,15,0.135826,0.145054,1187.246923,1,1,2,0,2
N.P.L Colony,,,0,14,0.146526,0.159265,95.429576,1,1,2,0,2
Mandawali Government School,,,1,15,0.113999,0.120545,0,1,1,2,0,8
Vijay Laxmi Appt.,,,0,14,0.13544,0.145914,2554.67809,1,1,2,0,8
Ras vihar,,,0,16,0.10843,0.114557,123.436971,1,1,2,0,8
Modren School Bara Khamba Road,,,0,13,0.172206,0.188795,563.293882,1,1,2,0,2
Gole Market.,,,0,15,0.142387,0.152696,288.921966,1,1,2,0,2
Rama Krishna Ashram Marg,,,0,15,0.136926,0.146732,133.296574,1,1,2,0,2
Shivaji Enclave (Raghubir Nagar),,,0,14,0.161486,0.175686,0,1,0,1,0,2
Vikas Puri C-Block,,,0.238095,13,0.175108,0.194683,18464.341592,5,4,9,0,0
JJ Colony Hastsal,,,0,14,0.154729,0.165126,0,1,0,1,0,0
Vikaspuri Xing,,,0,13,0.15491,0.169471,6863.099903,2,1,3,0,16
PS Vikas Puri,,,0,14,0.134267,0.143629,4620.643357,1,1,2,0,16
Budhela Village / C Block Vikas Puri,,,0,15,0.118539,0.1255,2782.393357,2,2,4,0,16
Oxford School,,,0,16,0.106158,0.112257,1175.2631,2,2,4,0,16
Gurudwara Vikaspuri,,,0,17,0.103489,0.109015,241.58641,2,2,4,0,16
M Block Vikaspuri,,,0,16,0.115306,0.122557,2008.345431,3,2,5,0,16
J Block Vikas Puri,,,0,15,0.130061,0.138467,1745.950017,1,1,2,0,16
Vikas Puri H-3,,,0.1,14,0.149278,0.161897,8509.008971,3,2,5,0,16
Surakh Pur,,,0,15,0.128764,0.136079,0,1,0,1,0,5
Tajpur Khurd,,,0,14,0.131254,0.139994,0,1,0,1,0,18
Dichaon Kalan,,,0,13,0.149891,0.161528,0,1,0,1,0,18
Uttam Nagar X-ing,,,0.666667,14,0.159192,0.173682,401.252683,1,2,3,0,16
Vidya Vihar,,,1,15,0.135905,0.148724,0,1,1,2,0,3
Rohini Sector 15 Pocket-D2,,,0.666667,14,0.147642,0.162586,348.141091,2,2,4,0,3
P.Vihar Power Houe,,,1,15,0.147408,0.157915,0,1,1,2,0,7
Budhela Village,,,0,17,0.096025,0.100739,21.95,1,1,2,0,16
C Block Vikaspuri,,,0,16,0.106043,0.111381,895.709093,1,1,2,0,16
Police Station Vikaspuri,,,0,15,0.118456,0.125182,2733.959093,1,1,2,0,16
Vikas Puri Crossing,,,0,14,0.134238,0.143629,4579.709093,1,1,2,0,16
Desu Office Mitrao,,,1,15,0.139024,0.149029,0,1,1,2,0,18
Mohan Garden/Nawada Village,,,0,14,0.146295,0.156901,312.149465,1,1,2,0,16
JG 3 Block Vikaspuri,,,1,15,0.134773,0.143587,0,1,1,2,0,16
Pitampura RU-Block Power House,,,0,16,0.115092,0.122521,5.5,1,1,2,0,3
Pitampura RU-Block,,,0,15,0.119568,0.127545,351.303069,1,1,2,0,3
Pittam Pura R U-Block,,,0,14,0.135727,0.147464,2202.803069,1,1,2,0,3
Prasant Vihar,,,1,14,0.14459,0.158536,0,1,1,2,0,3
Mukarba Chowk,,,1,14,0.15574,0.170065,0,1,2,3,0,1
Sarai Pipal Thala,,,0,13,0.163761,0.180035,3170.587534,1,1,2,0,3
Vikaspuri J-Block,,,0,15,0.130061,0.138467,1745.950017,1,1,2,0,16
Rohini Sector 11 F-Block Corner,,,0,14,0.144264,0.15703,1745.535578,2,2,4,0,3
Rohini Sector 27,,,0,14,0.141682,0.151012,0,1,0,1,0,12
New Friends Colony,,,1,13,0.159972,0.174358,0,1,1,2,0,12
Ashram (Hari Nagar),,,1,13,0.157174,0.171236,0,1,1,2,0,12
Kaka Nagar,,,0,14,0.150048,0.163134,7.667857,1,1,2,0,0
High Court,,,0,14,0.168953,0.187545,926.623638,2,2,4,0,0
Max Muller Bhawan,,,0,15,0.142202,0.153802,36.196286,1,1,2,0,14
Asalatpur Khavad,,,0,18,0.095738,0.101245,0,1,0,1,0,18
Golcha Cinema,,,1,14,0.167296,0.184404,0,1,1,2,0,0
Mall Road Ring Road,,,0,15,0.126833,0.13495,3.083333,1,1,2,0,5
Adhyapak Nagar,,,0,15,0.146757,0.158723,1748.930285,1,1,2,0,17
Nilothi Village,,,0,15,0.129409,0.13758,1881.628323,2,1,3,0,17
Nilothi Extn.,,,0,16,0.114588,0.119951,0,1,0,1,0,17
Vishnu Garden N.W. Chowk,,,0,14,0.161486,0.175686,0,0,1,1,0,2
Keshav Puram A-1,,,0.5,13,0.165864,0.183773,803.468968,2,2,4,0,4
Majra Dabas,,,1,16,0.12145,0.129353,0,2,1,3,0,19
Gulabi Bagh DDA Flats,,,0,15,0.140984,0.154206,0.834524,2,0,2,0,5
Mubarak Pur Dabas,,,0.066667,13,0.167326,0.183482,20339.044667,5,2,7,0,19
Shaheed Bhagat Singh Nagar,,,0,14,0.135155,0.144959,5141.525366,2,1,3,0,19
Mubarakpur Xing,,,0.333333,14,0.142463,0.153193,120.430597,1,2,3,0,19
Shalimar Bagh (Ring Road),,,1,14,0.153112,0.167784,0,1,1,2,0,3
Radha Swami Satsang,,,1,16,0.120388,0.128276,0,1,1,2,0,19
Tikri Piou,,,0.333333,14,0.144556,0.15549,1859,2,1,3,0,17
Tikri Border,,,0,15,0.126307,0.133122,0,1,0,1,0,17
Haryana Shakti School Kanjhawala,,,0,17,0.103928,0.109151,5.333333,2,2,4,0,19
Desu Sub Station,,,0.333333,16,0.115816,0.122637,1831.336245,3,2,5,0,19
Nizam Pur,,,0,15,0.140802,0.150893,1159.218891,2,2,4,0,19
Garhi Randala,,,0,15,0.131328,0.140068,260.586565,2,2,4,0,19
Kirari More,,,0,15,0.133123,0.142951,2059.404457,1,1,2,0,4
Kirari Gaon,,,0,15,0.126763,0.135213,2321.599262,1,1,2,0,18
Kirari Lal Mandir,,,0,15,0.1143,0.120353,786.596907,1,1,2,0,18
Kirari Nahar,,,0,15,0.111397,0.116604,444.238843,1,1,2,0,18
Inder Enclave (Nithari),,,0,14,0.120826,0.126511,1552.738202,1,1,2,0,18
Agar Nagar,,,0,13,0.136384,0.14396,3287.830338,1,1,2,0,18
Nithari,,,0,13,0.161795,0.177484,7714.485065,1,2,3,0,17
Desu Office,,,0,15,0.120046,0.128211,1380.988861,2,2,4,0,19
Karala Xing,,,0,15,0.120599,0.128088,460.115464,1,1,2,0,19
Mubarakpur School,,,0,14,0.144175,0.15406,108.141541,1,1,2,0,19
Bakkarwala X-ing,,,0,15,0.122208,0.12996,1952.463919,1,2,3,0,17
Bakkarwala,,,0,16,0.108906,0.113983,0,1,0,1,0,17
B-Block Mangolpuri,,,0,16,0.1457,0.159147,1025.874844,1,1,2,0,7
Q-Block Mangolpuri,,,0,16,0.133621,0.143192,81.032996,1,1,2,0,7
T Block Mangol Puri,,,0,15,0.143253,0.154265,912.158152,1,1,2,0,7
Sultan Puri AB Block Extension,,,0,15,0.143231,0.15413,928.244444,1,1,2,0,7
Jalebi Chowk / Sultanpuri AB Block,,,0,16,0.125328,0.132672,0.833333,1,1,2,0,7
Sultanpuri C Block,,,0,16,0.127467,0.135493,1.336111,1,1,2,0,7
Sultan Puri Terminal,,,0,15,0.146031,0.158271,1164.883358,3,0,3,0,7
Ghevra Crossing Rohtak Road,,,0,16,0.1057,0.111676,8524.435292,2,1,3,0,17
Tikri Piyau / Azad Hind Gram,,,0,17,0.09563,0.100182,5571,1,1,2,0,17
Tikri Hospital,,,0,18,0.087303,0.090997,3716,1,1,2,0,17
Tikri Village,,,0,19,0.080304,0.083326,1859,1,1,2,0,17
Sarvodya Kanya Vidhyalaya / PVC Market,,,0,20,0.074338,0.076573,0,1,0,1,0,17
Baprola X-ing,,,0,14,0.136304,0.146555,1791.934643,1,2,3,0,17
IGI Airport,,,0,15,0.123252,0.130216,0,0,1,1,0,18
Nangal Dairy,,,0,13,0.149038,0.160524,1937.46042,1,1,2,0,18
Rohini Sector 4,,,0.3,15,0.142354,0.157523,831.674551,4,1,5,0,7
Rohini Sector 5,,,0.333333,15,0.14953,0.166249,3454.074281,1,3,4,0,7
New Multan Nagar,,,0,17,0.111671,0.117769,373.968639,1,1,2,0,11
Rohini Sector 8 X-ing,,,0,14,0.140261,0.153424,168.030157,1,1,2,0,7
Rohini Sector 1 Avantika,,,1,16,0.130143,0.140549,0,1,1,2,0,7
